"condition","dv1","dv2"
"A",5.50034695870023,4.46426692858307
"A",6.44400369443106,6.95828751957554
"A",6.14603245889601,7.61774380264127
"A",3.89906243224852,7.9989433995284
"A",3.74392766916068,6.17664742660451
"A",4.49932965207495,4.34644232535964
"A",1.84252137215225,5.98330114551847
"A",5.2926755043394,7.78018113160719
"A",5.95473654774119,6.24593118659448
"A",3.95662758472913,6.6795739625352
"B",5.979345219512,3.40184832565264
"B",5.91517673602323,0.676826402654545
"B",7.43778047794852,7.23821854933722
"B",3.71615349680545,3.18644507845436
"B",7.82235939266126,3.3757502157269
"B",4.15847916247656,2.58158809555562
"B",4.62472839187912,6.8247896524036
"B",7.47570072025712,4.97553656391194
"B",7.31194034289063,5.11638462624026
"B",6.9328734384575,5.30009952787381
"B",4.93047059310742,5.20488246756977
"B",8.42690055349202,2.63350724167805
"B",5.19103135765815,3.80838159643958
"B",4.9651681748085,0.708001608058033
"B",5.81888956047836,5.02847296567534
"B",7.25852821680021,5.17275102877966
"B",5.20319782299513,8.4875465493232
"B",6.66079127650119,7.55078959621138
"B",5.15010418963529,1.65168248773712
"B",8.52222652150495,2.17469832155153
"B",6.99170373105252,2.5249404844059
"B",4.0729833837082,5.06753229273738
"B",4.58577017941634,4.26154645574007
"B",6.42933055686097,6.89730969949113
"B",5.82548942924105,2.87728944799788
"B",3.24794680361543,8.77030551960735
"B",7.35050692223606,2.59574833813237
"B",6.5632058834019,3.93438840128987
"B",8.14244015275832,4.48454074912342
"B",6.77391344058968,6.12936999774028
"B",5.93248732312805,3.67180787994987
"B",7.25686441485691,4.5205456621807
"B",3.3701874469349,5.14453374642352
"B",5.40006354698304,4.83953507591044
"B",5.74097138658573,5.26454918700191
"B",6.74589340774978,4.87116531865681
"B",8.26663830372144,2.95955665400604
"B",6.01607055453297,4.45453296720493
"B",6.61653401105543,1.47696727522746
"B",8.67348431755277,4.79270073058374
"B",3.99602366832381,5.29439694389641
"B",7.40426941012888,1.63113528734926
"B",8.96076192273707,3.29009125215007
"B",6.72999007208015,4.41163354031158
"B",5.66265698609279,4.83130719409299
"B",4.37126307780604,5.67960364272887
"B",5.27728029020322,4.14255847378537
"B",8.78244572370666,4.68318703959583
"B",5.84657557467045,4.03572815484123
"B",5.34264743403265,3.3683037079115
"B",5.36407542930661,3.20609612206254
"B",7.35767443801808,0.935822545323122
"B",7.60366460473766,4.48410974454357
"B",5.72882187480428,6.20342478650716
"B",4.37183819672964,1.86753742198249
"B",8.70586945262112,1.82408738730631
"B",6.87420134460871,0.652537841955956
"B",6.12841267394612,4.3720558575851
"B",6.93259257768447,2.82915381474707
"B",4.1213597144061,4.01045333810426
"B",7.63024450767324,4.90942664990265
"B",6.08980639851994,1.61923778280453
"B",6.50226453088158,3.90624888234614
"B",3.91171815007475,6.20483331444208
"B",6.21015529147832,5.89402718429224
"B",7.65647027862173,3.06528690622326
"B",4.74594562274004,3.81215949211582
"B",4.89687227621074,5.30796233946057
"B",5.84679561475524,1.74746592661458
"B",6.80630279117324,2.29353873683987
"B",7.83041098921829,3.67206310601708
"B",3.4730507852919,5.86141167286845
"B",6.36828022060825,6.18141983562066
"B",4.48479959183461,3.46469512882676
"B",7.07950798652835,6.13590775650143
"B",5.8630731238241,3.35925059931588
"B",4.23961189873199,3.55210711449821
"B",3.7559492129275,2.62802504078709
"B",7.50566981838142,4.89135770032561
"B",6.09453763707623,2.31335493073229
"B",6.85602500226182,4.20748964780322
"B",5.8919460885186,2.66148523877067
"B",7.21907616738821,5.17686793258843
"B",7.27145612005385,3.57090143783035
"B",7.03322884414599,1.46335723380561
"B",5.33904938447453,1.57838667764489
"B",5.63684012917524,3.98892801248983
"B",5.35317315974317,6.01249419743929
"B",5.48495413960321,4.11688974148185
"B",6.59085144993168,2.47206108339305
"B",7.26036246202619,3.36689918924084
"B",5.35118276443493,4.45393575168362
"B",5.74330218484381,2.83409884667549
"B",5.20354863994864,5.21149264061516
"B",9.83424400966015,5.5764669105105
"B",6.30845347573996,2.47806322105318
"B",7.09239135977584,4.54909665095839
"B",7.64329964859512,4.20086173732125
"B",5.62057325895398,2.6173319767175
"B",9.71348314639437,4.70636753964634
